gene_id	ERS490437	ERS494394	ERS490331	ERS490187	ERS488920	ERS488625	ERS490542	ERS494445	ERS494173	ERS494518	ERS488573	ERS488299	ERS490659	ERS494332	ERS489074	ERS488547	ERS490743	ERS490269	ERS489339	ERS489164	ERS491424	ERS490396	ERS489677	ERS489136	ERS489585	ERS488332	ERS494583
P9301_09121 	8	0	0	0	0	12	5	0	4	0	13	0	2	0	0	42	3	0	8	30	0	14	0	0	0	0	0
P9301_09131 	36	0	0	0	211	45	25	0	15	0	62	0	22	3	17	77	30	1	89	190	0	84	85	109	144	0	0
P9301_09141 	70	9	0	0	56	183	36	0	92	0	147	0	27	83	0	548	26	0	50	159	0	239	46	10	0	0	0
P9301_09151 	62	0	9	0	20	14	45	0	77	0	138	0	43	104	12	371	24	0	7	53	0	259	53	0	0	0	0
P9301_09161 	6	0	0	0	28	30	5	0	6	0	16	0	5	5	0	98	7	0	0	38	0	17	0	7	23	0	0
P9301_09171 	7	0	0	0	18	0	1	0	0	0	53	0	9	0	0	60	1	0	1	12	0	3	0	14	0	0	0
P9301_09181 	1	0	9	0	0	0	2	0	6	0	0	0	2	0	0	5	0	0	0	0	0	8	0	0	0	0	0
P9301_09191 	7	0	0	0	291	0	6	0	12	0	75	0	31	26	13	74	52	0	0	199	0	61	80	42	98	0	0
P9301_09201 	5	0	0	0	44	0	4	0	19	0	10	0	4	10	0	70	7	0	0	10	0	42	23	19	0	0	0
P9301_09211 	55	0	17	0	242	23	55	0	43	0	59	0	72	79	32	183	70	0	37	67	0	99	11	53	0	0	0
P9301_09221 	23	0	0	0	79	3	25	0	6	0	74	0	14	48	6	148	24	0	68	55	0	54	70	100	0	0	0
P9301_09231 	36	0	0	0	49	0	14	0	6	0	23	0	13	0	0	61	9	0	0	26	0	397	0	4	0	0	0
P9301_09241 	3	0	0	0	0	0	2	0	3	0	0	0	1	0	0	14	0	0	0	0	0	40	0	2	0	0	0
P9301_09251 	6	0	0	0	23	0	3	0	12	0	11	0	10	2	0	53	0	0	0	0	0	64	8	0	0	0	0
P9301_09261 	8	0	0	0	23	17	7	0	11	0	4	0	4	0	0	50	9	0	0	5	0	44	0	0	0	0	0
P9301_09271 	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	6	0	3	0	0	0	0	0
P9301_09281 	769	15	18	0	517	228	781	5	256	10	770	0	822	396	53	1814	812	0	267	359	1	1727	409	227	122	0	0
P9301_09291 	56	2	0	0	2	83	18	0	16	0	27	0	3	73	1	47	24	0	0	44	0	173	1	7	0	0	0
P9301_09301 	14	0	0	0	0	0	4	0	5	0	5	0	13	15	0	15	15	0	0	15	0	42	0	5	0	0	0
P9301_09311 	0	0	0	0	15	0	0	0	0	0	0	0	0	7	0	5	0	0	0	0	0	2	5	0	0	0	0
